beam_height,beam_length,fillet_size,beam_width,modal_frequency_1,modal_frequency_2,modal_frequency_3,modal_frequency_4,max_deformation,max_stress 
5.0,10.0,0.1,0.4,114.18975400972288,772.0592685453582,855.8433888196826,1442.7216648946555,0.19146455824375153,5.933879154496399
5.0,11.4,0.1,0.4,97.5911370231126,717.6595256647295,767.4036413121562,1324.0816352432348,0.2626377046108246,6.016455985084144
5.0,12.8,0.1,0.4,85.34315795712034,672.3809296651476,693.2107561904304,969.3258989112214,0.3445139527320862,6.640104539163939
5.0,14.2,0.1,0.4,77.0455042534375,628.7250937933818,633.2437614114241,815.3114297677304,0.4235335886478424,6.484308556008754
5.0,15.6,0.1,0.4,70.24885850506804,529.8090494215055,595.2090436507125,596.6017388666181,0.5135172009468079,6.204226468721543
5.0,17.0,0.1,0.4,65.50957595831531,464.66047252078,531.9205031421913,559.3348408894934,0.5922931432723999,6.530838127576784
8.0,10.0,0.1,0.4,130.38645283307665,1038.4377647378667,1088.093818035537,1452.6283554058589,0.1469336599111557,5.125924944469688
8.0,11.4,0.1,0.4,109.67930647450237,976.9105180313705,985.574569960569,1395.3063817346701,0.20781651139259338,5.351168503821628
8.0,12.8,0.1,0.4,97.87730787345654,901.2766855787753,924.8211368610108,1233.2768858990225,0.2616364061832428,5.24157966871484
8.0,14.2,0.1,0.4,82.45428558750737,827.9798007293698,879.9754660614448,1033.4457692901826,0.368937224149704,5.899911099864358
8.0,15.6,0.1,0.4,75.00235380055314,762.8467422953871,836.1569571721542,928.0498386056895,0.4464602470397949,5.657823618738747
8.0,17.0,0.1,0.4,69.83855653023346,680.4076138659977,753.6896318307913,784.2233239745605,0.5162379145622253,5.604500448503808
11.0,10.0,0.1,0.4,147.88824076814143,1204.443923461409,1209.8618563698556,1432.2845805838028,0.11435151845216751,4.563567054627196
11.0,11.4,0.1,0.4,123.86375652720926,1104.3581804784892,1146.4412581486122,1400.5822438327405,0.1629539281129837,4.6356028839887555
11.0,12.8,0.1,0.4,124.91176638701646,1013.915217093628,1089.0098583561412,1318.5129449718077,0.1609906256198883,4.148884146026451
11.0,14.2,0.1,0.4,102.39259303973428,944.052166860011,1042.3381853093974,1241.8194476198523,0.23963195085525513,4.716143729762493
11.0,15.6,0.1,0.4,89.42950796216589,874.8262490109396,996.2845968625359,1040.5425700409496,0.3145313560962677,4.976049653657408
11.0,17.0,0.1,0.4,79.13631483105979,791.9764470760538,877.541475874044,936.9949220353149,0.4023214280605316,4.673062095884538
14.0,10.0,0.1,0.4,191.72129147478833,1257.6362052870713,1322.4774013464605,1403.0174413906514,0.06829199194908142,3.453171788489228
14.0,11.4,0.1,0.4,172.04485484348137,1155.2922740989643,1255.16557482357,1370.061431308666,0.08488839119672775,4.681251985724201
14.0,12.8,0.1,0.4,140.6169035465303,1070.3350478572233,1196.7719028788167,1308.995441798672,0.12701794505119324,4.709635855431799
14.0,14.2,0.1,0.4,89.53922584250246,998.2676440153487,1148.4669625562867,1219.313848337117,0.3123769462108612,5.043886754058406
14.0,15.6,0.1,0.4,93.95534279975469,939.5273778165556,1102.8325804477035,1181.9355815709694,0.2840745449066162,4.370569604886085
14.0,17.0,0.1,0.4,81.5024288287572,872.4955533294471,1042.2564617223907,1054.7459201219815,0.378153920173645,5.225034109167074
17.0,10.0,0.1,0.4,167.9006924646817,1266.7400212429452,1352.7896007197169,1398.1627128186335,0.08886120468378067,3.9542722129983887
17.0,11.4,0.1,0.4,138.65627504547666,1175.9834811828866,1329.6342325146375,1332.4376703960838,0.13019081950187683,4.312914868786408
17.0,12.8,0.1,0.4,118.79285708439373,1091.0168371749446,1271.463240435291,1277.605419117385,0.17756326496601105,5.4167588834661595
17.0,14.2,0.1,0.4,106.27158321142906,1020.0625487806051,1163.8466764622917,1222.0501747502133,0.22281847894191742,4.411558145628279
17.0,15.6,0.1,0.4,83.79263011344544,971.5179103478793,1178.6681503943553,1186.059502054825,0.3565255105495453,4.645890387041972
17.0,17.0,0.1,0.4,77.8050080927807,901.8526712159686,1025.150571687311,1053.6829348486424,0.41482460498809814,5.14363495059265
20.0,10.0,0.1,0.4,233.18508061027268,1261.0441393142305,1333.308924478428,1457.005175203337,0.04634345695376396,4.211921829096214
20.0,11.4,0.1,0.4,162.45926002418125,1183.109487028613,1302.539788589556,1393.59037920498,0.09544408321380615,5.371771721270475
20.0,12.8,0.1,0.4,127.97147017998758,1114.4732196820764,1287.4131527236038,1339.064927932348,0.15280787646770477,5.366270272924967
20.0,14.2,0.1,0.4,126.33584702992502,1039.0848076320958,1241.2735157190261,1281.4696025932208,0.15712334215641022,5.112248635034263
20.0,15.6,0.1,0.4,103.94272168159269,990.0739849596087,1198.416436942583,1237.9017753222304,0.23204660415649414,5.306837565877085
20.0,17.0,0.1,0.4,95.09895160388935,933.5383145272039,1089.4584424757902,1177.7231670405477,0.2773422598838806,5.2140037056580155
